slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
0,normal_004,0,4,0.000010,1446,256,5.248,5561.299,45.315,703.100,6314.962,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_004.tiff,1273221
1,normal_017,0,4,6.315134,361,256,3.702,1362.092,2.630,66.641,1435.065,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_017.tiff,340838
2,normal_050,0,4,7.750333,9638,256,54.654,34230.563,2.860,2578.076,36866.153,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_050.tiff,6528817
3,normal_080,0,4,44.616628,16112,256,79.061,58825.687,1.411,3166.149,62072.308,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_080.tiff,12107278
4,normal_113,0,4,106.689193,17490,256,72.798,63100.486,1.229,2840.626,66015.139,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_113.tiff,10269402
5,normal_127,0,4,172.704708,21136,256,90.759,76153.065,1.522,3534.295,79779.641,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_127.tiff,14877861
6,test_014,0,4,252.484636,26522,256,118.180,96977.389,1.884,3240.013,100337.466,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/test_014.tiff,13868510
7,test_036,0,4,352.822255,6460,256,30.317,23668.796,0.649,1872.610,25572.372,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/test_036.tiff,5191120
8,test_101,0,4,378.394765,22368,256,93.324,82146.531,1.587,3145.931,85387.373,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/test_101.tiff,12602249
9,tumor_015,0,4,463.782279,23537,256,98.065,86557.415,1.736,3389.872,90047.089,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/tumor_015.tiff,13927530
10,tumor_045,0,4,553.829595,8534,256,41.567,31104.028,0.628,1740.961,32887.185,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/tumor_045.tiff,5835237
11,tumor_079,0,4,586.716994,16616,256,63.551,61392.967,1.237,4663.408,66121.163,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/tumor_079.tiff,10283220
12,tumor_101,0,4,652.838410,12176,256,47.217,43802.929,0.933,2413.591,46264.669,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/tumor_101.tiff,7203926
13,normal_004,0,4,699.103216,1446,256,7.539,5199.551,0.659,700.258,5908.006,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_004.tiff,1273221
14,normal_017,0,4,705.011380,361,256,3.601,1305.562,0.941,59.596,1369.700,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_017.tiff,340838
15,normal_050,0,4,706.381202,9638,256,37.849,34738.890,0.840,2295.171,37072.750,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_050.tiff,6528817
16,normal_080,0,4,743.454271,16112,256,61.161,59316.633,1.122,3252.022,62630.938,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_080.tiff,12107278
17,normal_113,0,4,806.085482,17490,256,73.441,64011.552,1.191,2843.962,66930.145,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_113.tiff,10269402
18,normal_127,0,4,873.015784,21136,256,90.424,76943.098,1.557,3509.424,80544.503,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_127.tiff,14877861
19,test_014,0,4,953.560434,26522,256,114.260,98182.969,1.882,3163.850,101462.962,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/test_014.tiff,13868510
20,test_036,0,4,1055.023537,6460,256,27.395,23902.456,0.537,1874.824,25805.211,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/test_036.tiff,5191120
21,test_101,0,4,1080.828952,22368,256,88.682,82449.833,1.585,3120.424,85660.524,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/test_101.tiff,12602249
22,tumor_015,0,4,1166.489615,23537,256,98.560,87258.961,1.662,3509.627,90868.811,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/tumor_015.tiff,13927530
23,tumor_045,0,4,1257.358696,8534,256,38.618,31515.143,0.570,1741.011,33295.343,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/tumor_045.tiff,5835237
24,tumor_079,0,4,1290.654176,16616,256,62.376,61451.891,1.150,6605.233,68120.651,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/tumor_079.tiff,10283220
25,tumor_101,0,4,1358.774979,12176,256,48.353,44818.189,0.840,2413.564,47280.946,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/tumor_101.tiff,7203926
26,normal_004,0,4,1406.056067,1446,256,8.105,5312.837,0.573,691.067,6012.582,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_004.tiff,1273221
27,normal_017,0,4,1412.068775,361,256,3.376,1315.475,0.543,56.419,1375.813,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_017.tiff,340838
28,normal_050,0,4,1413.444711,9638,256,37.339,35050.346,0.627,2241.066,37329.378,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_050.tiff,6528817
29,normal_080,0,4,1450.774422,16112,256,59.688,58405.014,1.134,3143.753,61609.589,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_080.tiff,12107278
30,normal_113,0,4,1512.384397,17490,256,65.046,64422.710,1.178,2857.790,67346.724,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_113.tiff,10269402
31,normal_127,0,4,1579.731261,21136,256,82.317,77791.365,1.534,3685.383,81560.598,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/normal_127.tiff,14877861
32,test_014,0,4,1661.292006,26522,256,111.818,97395.719,1.874,3122.541,100631.951,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/test_014.tiff,13868510
33,test_036,0,4,1761.924098,6460,256,29.320,23764.645,0.593,1889.292,25683.849,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc0/test_036.tiff,5191120
0,normal_013,1,4,0.000010,1606,256,6.508,6106.743,45.668,288.513,6447.432,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc1/normal_013.tiff,1399363
1,normal_023,1,4,6.447572,951,256,5.059,3476.871,2.439,551.367,4035.736,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc1/normal_023.tiff,811965
2,normal_053,1,4,10.483429,12937,256,70.373,46567.393,0.862,2204.821,48843.449,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc1/normal_053.tiff,8805946
3,normal_082,1,4,59.327125,9497,256,39.207,35203.705,2.909,2407.868,37653.689,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc1/normal_082.tiff,7891546
4,normal_114,1,4,96.981045,27795,256,142.870,101068.357,1.932,3375.154,104588.313,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc1/normal_114.tiff,15296212
5,normal_137,1,4,201.569532,24537,256,102.950,90204.029,1.787,4024.129,94332.894,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc1/normal_137.tiff,14876823
6,test_016,1,4,295.902693,24486,256,103.682,91854.123,1.850,2912.764,94872.419,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc1/test_016.tiff,13481257
7,test_057,1,4,390.775274,3335,256,16.311,12791.463,0.565,922.086,13730.425,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-104634-weka-s7-7.6-cam16-virchow2-kvikio-warm-N4/heatmaps/proc1/test_057.tiff,2531303
