stage,workload,bs,jobs,bs_bytes,run_dir,run_start_utc,run_end_utc,duration_s,fio_write_bw_kib,fio_write_iops,fio_write_p99_ns,fio_write_lat_mean_ns,fio_read_bw_kib,fio_read_iops,fio_read_p99_ns,fio_read_lat_mean_ns,rdma_xmit_bytes_sustained,rdma_xmit_dev,rdma_rcv_bytes_sustained,rdma_rcv_dev,weka_stats_rows,status
s1.0a,seqw,4k,1,4096,2026-08-16-040342-weka-s1.0a-seqw-bs4k-jobs1,2026-08-16T04:03:47Z,2026-08-16T04:14:48Z,661.0,28257.211009,7064.177648,203776,141272.345046,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,4k,2,4096,2026-08-16-041459-weka-s1.0a-seqw-bs4k-jobs2,2026-08-16T04:15:04Z,2026-08-16T04:26:04Z,660.0,56680.125104,14169.857381,207872,140819.27693,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,4k,4,4096,2026-08-16-042616-weka-s1.0a-seqw-bs4k-jobs4,2026-08-16T04:26:21Z,2026-08-16T04:37:22Z,661.0,109764.557131,27441.04754,216064,145432.532015,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,4k,8,4096,2026-08-16-043733-weka-s1.0a-seqw-bs4k-jobs8,2026-08-16T04:37:38Z,2026-08-16T04:48:39Z,661.0,215847.438699,53961.563803,228352,147900.704682,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,4k,16,4096,2026-08-16-044850-weka-s1.0a-seqw-bs4k-jobs16,2026-08-16T04:48:55Z,2026-08-16T04:59:56Z,661.0,407396.958299,101848.316097,252928,156724.698837,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,4k,32,4096,2026-08-16-050007-weka-s1.0a-seqw-bs4k-jobs32,2026-08-16T05:00:12Z,2026-08-16T05:11:13Z,661.0,716833.020851,179204.661384,309248,178227.384963,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,4k,64,4096,2026-08-16-051124-weka-s1.0a-seqw-bs4k-jobs64,2026-08-16T05:11:30Z,2026-08-16T05:22:30Z,660.0,1128190.906589,282042.823186,419840,226558.40689,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,64k,1,65536,2026-08-16-052242-weka-s1.0a-seqw-bs64k-jobs1,2026-08-16T05:22:47Z,2026-08-16T05:33:48Z,661.0,228487.437031,3569.983319,374784,279843.614114,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,64k,2,65536,2026-08-16-053359-weka-s1.0a-seqw-bs64k-jobs2,2026-08-16T05:34:04Z,2026-08-16T05:45:05Z,661.0,463949.718932,7248.937448,395264,275596.106955,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,64k,4,65536,2026-08-16-054516-weka-s1.0a-seqw-bs64k-jobs4,2026-08-16T05:45:21Z,2026-08-16T05:56:22Z,661.0,889003.151793,13890.524604,448512,287612.896457,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,64k,8,65536,2026-08-16-055633-weka-s1.0a-seqw-bs64k-jobs8,2026-08-16T05:56:38Z,2026-08-16T06:07:39Z,661.0,1748266.296914,27316.132611,485376,292511.688926,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,64k,16,65536,2026-08-16-060751-weka-s1.0a-seqw-bs64k-jobs16,2026-08-16T06:07:56Z,2026-08-16T06:18:57Z,661.0,3297622.375922,51523.679859,522240,310146.794678,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,64k,32,65536,2026-08-16-061908-weka-s1.0a-seqw-bs64k-jobs32,2026-08-16T06:19:13Z,2026-08-16T06:30:14Z,661.0,5863988.22352,91616.944954,602112,349007.66663,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,64k,64,65536,2026-08-16-063025-weka-s1.0a-seqw-bs64k-jobs64,2026-08-16T06:30:30Z,2026-08-16T06:41:31Z,661.0,8896472.746455,139004.843203,782336,460172.353476,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,256k,1,262144,2026-08-16-064143-weka-s1.0a-seqw-bs256k-jobs1,2026-08-16T06:41:48Z,2026-08-16T06:52:49Z,661.0,447396.18015,1747.481234,667648,572023.920573,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,256k,2,262144,2026-08-16-065300-weka-s1.0a-seqw-bs256k-jobs2,2026-08-16T06:53:05Z,2026-08-16T07:04:06Z,661.0,919549.614679,3591.709758,667648,556526.792864,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,256k,4,262144,2026-08-16-070417-weka-s1.0a-seqw-bs256k-jobs4,2026-08-16T07:04:22Z,2026-08-16T07:15:23Z,661.0,1766764.886572,6900.975813,692224,579361.707866,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,256k,8,262144,2026-08-16-071534-weka-s1.0a-seqw-bs256k-jobs8,2026-08-16T07:15:39Z,2026-08-16T07:26:40Z,661.0,2840170.130942,11093.382819,1011712,721024.309133,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,256k,16,262144,2026-08-16-072651-weka-s1.0a-seqw-bs256k-jobs16,2026-08-16T07:26:56Z,2026-08-16T07:37:57Z,661.0,3677496.58759,14363.251214,1794048,1113936.672402,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,256k,32,262144,2026-08-16-073809-weka-s1.0a-seqw-bs256k-jobs32,2026-08-16T07:38:14Z,2026-08-16T07:49:15Z,661.0,4984992.423331,19467.239314,3391488,1643682.375763,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,256k,64,262144,2026-08-16-074926-weka-s1.0a-seqw-bs256k-jobs64,2026-08-16T07:49:31Z,2026-08-16T08:00:32Z,661.0,5146306.930132,20093.36606,5210112,3184963.893256,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,1M,1,1048576,2026-08-16-080044-weka-s1.0a-seqw-bs1M-jobs1,2026-08-16T08:00:49Z,2026-08-16T08:11:49Z,660.0,877201.916597,856.492077,1466368,1167226.672409,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,1M,2,1048576,2026-08-16-081201-weka-s1.0a-seqw-bs1M-jobs2,2026-08-16T08:12:05Z,2026-08-16T08:23:06Z,661.0,1615884.677231,1577.693078,1548288,1267517.635755,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,1M,4,1048576,2026-08-16-082316-weka-s1.0a-seqw-bs1M-jobs4,2026-08-16T08:23:21Z,2026-08-16T08:34:22Z,661.0,2347987.528887,2292.567424,2506752,1744670.658858,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,1M,8,1048576,2026-08-16-083433-weka-s1.0a-seqw-bs1M-jobs8,2026-08-16T08:34:38Z,2026-08-16T08:45:39Z,661.0,4340514.833194,4238.052544,2768896,1887991.494511,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,1M,16,1048576,2026-08-16-084550-weka-s1.0a-seqw-bs1M-jobs16,2026-08-16T08:45:55Z,2026-08-16T08:56:55Z,660.0,5378471.574773,5250.147293,5865472,3047181.750266,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,1M,32,1048576,2026-08-16-085706-weka-s1.0a-seqw-bs1M-jobs32,2026-08-16T08:57:11Z,2026-08-16T09:08:12Z,661.0,5416694.894912,5286.904921,8355840,6052357.935867,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,1M,64,1048576,2026-08-16-090824-weka-s1.0a-seqw-bs1M-jobs64,2026-08-16T09:08:29Z,2026-08-16T09:19:30Z,661.0,5648174.718094,5513.923945,17432576,11610798.764637,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,4M,1,4194304,2026-08-16-091941-weka-s1.0a-seqw-bs4M-jobs1,2026-08-16T09:19:47Z,2026-08-16T09:30:47Z,660.0,1293552.055046,315.64387,3376,3168413.313663,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,4M,2,4194304,2026-08-16-093058-weka-s1.0a-seqw-bs4M-jobs2,2026-08-16T09:31:04Z,2026-08-16T09:42:04Z,660.0,2468646.133445,602.394495,3536,3319322.93971,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,4M,4,4194304,2026-08-16-094215-weka-s1.0a-seqw-bs4M-jobs4,2026-08-16T09:42:21Z,2026-08-16T09:53:21Z,660.0,3789308.824221,924.524032,4512,4324388.937808,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,4M,8,4194304,2026-08-16-095333-weka-s1.0a-seqw-bs4M-jobs8,2026-08-16T09:53:38Z,2026-08-16T10:04:39Z,661.0,5113758.854236,1247.596588,5984,6409455.700956,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,4M,16,4194304,2026-08-16-100450-weka-s1.0a-seqw-bs4M-jobs16,2026-08-16T10:04:55Z,2026-08-16T10:15:56Z,661.0,5477273.165972,1336.454545,8256,11971134.937233,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0a,seqw,4M,32,4194304,2026-08-16-101608-weka-s1.0a-seqw-bs4M-jobs32,2026-08-16T10:16:13Z,2026-08-16T10:27:14Z,661.0,5748703.503684,1401.74634,10048,22812526.697386,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0a,seqw,4M,64,4194304,2026-08-16-102726-weka-s1.0a-seqw-bs4M-jobs64,2026-08-16T10:27:31Z,2026-08-16T10:38:32Z,661.0,5912430.610267,1441.207562,10688,44368937.497776,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
