stage,workload,bs,jobs,bs_bytes,run_dir,run_start_utc,run_end_utc,duration_s,fio_write_bw_kib,fio_write_iops,fio_write_p99_ns,fio_write_lat_mean_ns,fio_read_bw_kib,fio_read_iops,fio_read_p99_ns,fio_read_lat_mean_ns,rdma_xmit_bytes_sustained,rdma_xmit_dev,rdma_rcv_bytes_sustained,rdma_rcv_dev,weka_stats_rows,status
s1.0b,seqr,1M,16,1048576,2026-08-16-113029-weka-s1.0b-seqr-bs1M-jobs16,2026-08-16T11:30:34Z,2026-08-16T11:35:16Z,282.0,0.0,0.0,,0.0,11469355.170258,11198.910775,1941504,1428157.475667,0.0,,0.0,,19760,OK
s1.0b,seqr,4k,1,4096,2026-08-16-113524-weka-s1.0b-seqr-bs4k-jobs1,2026-08-16T11:35:29Z,2026-08-16T11:46:29Z,660.0,0.0,0.0,,0.0,24907.505421,6226.723103,191488,160354.653348,0.0,,0.0,,46056,OK
s1.0b,seqr,256k,64,262144,2026-08-16-114641-weka-s1.0b-seqr-bs256k-jobs64,2026-08-16T11:46:46Z,2026-08-16T11:50:59Z,253.0,0.0,0.0,,0.0,11184071.65661,43681.289559,2088960,1464490.751548,0.0,,0.0,,17708,OK
s1.0b,seqr,64k,4,65536,2026-08-16-115106-weka-s1.0b-seqr-bs64k-jobs4,2026-08-16T11:51:12Z,2026-08-16T12:02:12Z,660.0,0.0,0.0,,0.0,940449.502919,14694.182652,325632,271836.422296,0.0,,0.0,,46056,OK
s1.0b,seqr,4M,32,4194304,2026-08-16-120223-weka-s1.0b-seqr-bs4M-jobs32,2026-08-16T12:02:27Z,2026-08-16T12:07:08Z,281.0,0.0,0.0,,0.0,11505119.672133,2807.620984,5152,11390547.777135,0.0,,0.0,,19684,OK
s1.0b,seqr,1M,2,1048576,2026-08-16-120716-weka-s1.0b-seqr-bs1M-jobs2,2026-08-16T12:07:21Z,2026-08-16T12:18:22Z,661.0,0.0,0.0,,0.0,3473212.658518,3391.54445,757760,589465.83658,0.0,,0.0,,46056,OK
s1.0b,seqr,4k,8,4096,2026-08-16-121833-weka-s1.0b-seqr-bs4k-jobs8,2026-08-16T12:18:38Z,2026-08-16T12:29:39Z,661.0,0.0,0.0,,0.0,194045.695044,48510.703194,199680,164556.076938,0.0,,0.0,,46056,OK
s1.0b,seqr,4k,16,4096,2026-08-16-122950-weka-s1.0b-seqr-bs4k-jobs16,2026-08-16T12:29:55Z,2026-08-16T12:40:56Z,661.0,0.0,0.0,,0.0,386526.304345,96630.973764,195584,165155.092061,0.0,,0.0,,46056,OK
s1.0b,seqr,256k,1,262144,2026-08-16-124108-weka-s1.0b-seqr-bs256k-jobs1,2026-08-16T12:41:13Z,2026-08-16T12:52:13Z,660.0,0.0,0.0,,0.0,700797.968307,2737.30859,460800,365082.195788,0.0,,0.0,,46056,OK
s1.0b,seqr,64k,64,65536,2026-08-16-125225-weka-s1.0b-seqr-bs64k-jobs64,2026-08-16T12:52:30Z,2026-08-16T12:57:54Z,324.0,0.0,0.0,,0.0,9354932.528162,146163.164461,610304,437317.458738,0.0,,0.0,,22648,OK
s1.0b,seqr,4M,4,4194304,2026-08-16-125802-weka-s1.0b-seqr-bs4M-jobs4,2026-08-16T12:58:07Z,2026-08-16T13:02:39Z,272.0,0.0,0.0,,0.0,10434288.614614,2547.123136,3056,1570022.458348,0.0,,0.0,,19076,OK
s1.0b,seqr,1M,32,1048576,2026-08-16-130247-weka-s1.0b-seqr-bs1M-jobs32,2026-08-16T13:02:52Z,2026-08-16T13:06:42Z,230.0,0.0,0.0,,0.0,11422354.19862,11149.675232,4079616,2866994.809898,0.0,,0.0,,16112,OK
