stage,workload,bs,jobs,bs_bytes,run_dir,run_start_utc,run_end_utc,duration_s,fio_write_bw_kib,fio_write_iops,fio_write_p99_ns,fio_write_lat_mean_ns,fio_read_bw_kib,fio_read_iops,fio_read_p99_ns,fio_read_lat_mean_ns,rdma_xmit_bytes_sustained,rdma_xmit_dev,rdma_rcv_bytes_sustained,rdma_rcv_dev,weka_stats_rows,status
s1.0c,randw,4k,1,4096,2026-08-16-170623-weka-s1.0c-randw-bs4k-jobs1,2026-08-16T17:06:28Z,2026-08-16T17:17:29Z,661.0,204285.771476,51071.310259,257024,156338.017773,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0c,randw,4k,2,4096,2026-08-16-171744-weka-s1.0c-randw-bs4k-jobs2,2026-08-16T17:17:49Z,2026-08-16T17:28:49Z,660.0,352741.140951,88185.185154,317440,181154.040189,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0c,randw,4k,4,4096,2026-08-16-172901-weka-s1.0c-randw-bs4k-jobs4,2026-08-16T17:29:06Z,2026-08-16T17:40:07Z,661.0,708461.583527,177114.915156,354304,180297.583842,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0c,randw,4k,8,4096,2026-08-16-174018-weka-s1.0c-randw-bs4k-jobs8,2026-08-16T17:40:23Z,2026-08-16T17:51:24Z,661.0,1050564.262719,262640.325271,518144,243354.813911,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0c,randw,4k,16,4096,2026-08-16-175135-weka-s1.0c-randw-bs4k-jobs16,2026-08-16T17:51:40Z,2026-08-16T18:02:41Z,661.0,1570186.499583,392545.321101,675840,325717.733633,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0c,randw,4k,32,4096,2026-08-16-180253-weka-s1.0c-randw-bs4k-jobs32,2026-08-16T18:02:58Z,2026-08-16T18:13:59Z,661.0,1834180.400372,458540.756836,1187840,558157.678874,0.0,0.0,,0.0,0.0,,0.0,,46208,OK
s1.0c,randw,4k,64,4096,2026-08-16-181410-weka-s1.0c-randw-bs4k-jobs64,2026-08-16T18:14:15Z,2026-08-16T18:25:16Z,661.0,2076215.669705,519050.670514,1925120,986051.321721,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0c,randw,16k,1,16384,2026-08-16-182528-weka-s1.0c-randw-bs16k-jobs1,2026-08-16T18:25:34Z,2026-08-16T18:36:34Z,660.0,716479.178482,44779.810676,288768,178368.181425,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0c,randw,16k,2,16384,2026-08-16-183645-weka-s1.0c-randw-bs16k-jobs2,2026-08-16T18:36:51Z,2026-08-16T18:47:51Z,660.0,1354821.564637,84676.271059,325632,188666.500258,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0c,randw,16k,4,16384,2026-08-16-184803-weka-s1.0c-randw-bs16k-jobs4,2026-08-16T18:48:07Z,2026-08-16T18:59:08Z,661.0,2302845.264387,143927.366138,399360,222051.589548,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0c,randw,16k,8,16384,2026-08-16-185919-weka-s1.0c-randw-bs16k-jobs8,2026-08-16T18:59:24Z,2026-08-16T19:10:25Z,661.0,3325931.451011,207869.902393,618496,307564.306627,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0c,randw,16k,16,16384,2026-08-16-191036-weka-s1.0c-randw-bs16k-jobs16,2026-08-16T19:10:42Z,2026-08-16T19:21:42Z,660.0,4696247.570475,293514.002502,839680,435803.331261,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0c,randw,16k,32,16384,2026-08-16-192154-weka-s1.0c-randw-bs16k-jobs32,2026-08-16T19:21:59Z,2026-08-16T19:33:00Z,661.0,5551504.503753,346963.584654,1433600,737863.123678,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0c,randw,16k,64,16384,2026-08-16-193311-weka-s1.0c-randw-bs16k-jobs64,2026-08-16T19:33:16Z,2026-08-16T19:44:17Z,661.0,5539194.817603,346188.909465,2768896,1478974.547639,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0c,randw,64k,1,65536,2026-08-16-194429-weka-s1.0c-randw-bs64k-jobs1,2026-08-16T19:44:40Z,2026-08-16T19:55:40Z,660.0,1687875.22352,26372.908257,544768,303110.738422,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0c,randw,64k,2,65536,2026-08-16-195551-weka-s1.0c-randw-bs64k-jobs2,2026-08-16T19:55:57Z,2026-08-16T20:06:57Z,660.0,3183736.235196,49745.589658,593920,321373.879091,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0c,randw,64k,4,65536,2026-08-16-200709-weka-s1.0c-randw-bs64k-jobs4,2026-08-16T20:07:13Z,2026-08-16T20:18:14Z,661.0,4973316.630525,77707.921601,733184,411595.915716,0.0,0.0,,0.0,0.0,,0.0,,46056,OK
s1.0c,randw,64k,8,65536,2026-08-16-201825-weka-s1.0c-randw-bs64k-jobs8,2026-08-16T20:18:30Z,2026-08-16T20:29:31Z,661.0,8196677.671393,128073.033361,954368,499495.489281,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0c,randw,64k,16,65536,2026-08-16-202942-weka-s1.0c-randw-bs64k-jobs16,2026-08-16T20:29:48Z,2026-08-16T20:40:48Z,660.0,9092271.208353,142063.476258,1990656,900899.09294,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0c,randw,64k,32,65536,2026-08-16-204100-weka-s1.0c-randw-bs64k-jobs32,2026-08-16T20:41:05Z,2026-08-16T20:52:05Z,660.0,9410226.266055,147030.861551,2605056,1741302.130307,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
s1.0c,randw,64k,64,65536,2026-08-16-205217-weka-s1.0c-randw-bs64k-jobs64,2026-08-16T20:52:22Z,2026-08-16T21:03:23Z,661.0,9413066.904921,147066.581318,4751360,3482534.781999,0.0,0.0,,0.0,0.0,,0.0,,46132,OK
