stage,workload,bs,jobs,bs_bytes,run_dir,run_start_utc,run_end_utc,duration_s,fio_write_bw_kib,fio_write_iops,fio_write_p99_ns,fio_write_lat_mean_ns,fio_read_bw_kib,fio_read_iops,fio_read_p99_ns,fio_read_lat_mean_ns,rdma_xmit_bytes_sustained,rdma_xmit_dev,rdma_rcv_bytes_sustained,rdma_rcv_dev,weka_stats_rows,status
s1.0d,randr,16k,16,16384,2026-08-16-210615-weka-s1.0d-randr-bs16k-jobs16,2026-08-16T21:06:21Z,2026-08-16T21:07:03Z,42.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,3116,OK
s1.0d,randr,4k,1,4096,2026-08-16-210707-weka-s1.0d-randr-bs4k-jobs1,2026-08-16T21:07:13Z,2026-08-16T21:18:13Z,660.0,0.0,0.0,,0.0,189751.557131,47437.82819,203776,168271.521625,0.0,,0.0,,46056,OK
s1.0d,randr,64k,64,65536,2026-08-16-211825-weka-s1.0d-randr-bs64k-jobs64,2026-08-16T21:18:30Z,2026-08-16T21:18:57Z,27.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,2052,OK
s1.0d,randr,16k,4,16384,2026-08-16-211903-weka-s1.0d-randr-bs16k-jobs4,2026-08-16T21:19:08Z,2026-08-16T21:20:59Z,111.0,0.0,0.0,,0.0,2411083.534653,150692.277228,264192,211967.983735,0.0,,0.0,,7904,OK
s1.0d,randr,4k,32,4096,2026-08-16-212105-weka-s1.0d-randr-bs4k-jobs32,2026-08-16T21:21:09Z,2026-08-16T21:23:00Z,111.0,0.0,0.0,,0.0,2423820.742574,605950.237624,651264,421935.546877,0.0,,0.0,,7904,OK
s1.0d,randr,64k,2,65536,2026-08-16-212307-weka-s1.0d-randr-bs64k-jobs2,2026-08-16T21:23:12Z,2026-08-16T21:24:29Z,77.0,0.0,0.0,,0.0,3520213.25,55002.84375,378880,290803.927625,0.0,,0.0,,5548,OK
s1.0d,randr,16k,8,16384,2026-08-16-212435-weka-s1.0d-randr-bs16k-jobs8,2026-08-16T21:24:40Z,2026-08-16T21:25:42Z,62.0,0.0,0.0,,0.0,4423908.666667,276491.0,321536,231255.051547,0.0,,0.0,,4484,OK
s1.0d,randr,4k,16,4096,2026-08-16-212548-weka-s1.0d-randr-bs4k-jobs16,2026-08-16T21:25:53Z,2026-08-16T21:28:04Z,131.0,0.0,0.0,,0.0,2058572.833941,514641.719757,350208,248290.438885,0.0,,0.0,,9272,OK
s1.0d,randr,64k,1,65536,2026-08-16-212811-weka-s1.0d-randr-bs64k-jobs1,2026-08-16T21:28:16Z,2026-08-16T21:30:44Z,148.0,0.0,0.0,,0.0,1824352.971264,28505.224138,354304,280395.32954,0.0,,0.0,,10412,OK
s1.0d,randr,16k,64,16384,2026-08-16-213050-weka-s1.0d-randr-bs16k-jobs64,2026-08-16T21:30:55Z,2026-08-16T21:31:32Z,37.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,2736,OK
