dataset,concurrency,cache_arm,run_dir,run_start_utc,run_end_utc,window_s,app_slides_total,app_slides_success,app_slides_failed,app_total_seconds,app_slides_per_sec,per_slide_count,per_slide_lat_mean_ms,per_slide_lat_p50_ms,per_slide_lat_p95_ms,per_slide_lat_p99_ms,per_slide_lat_max_ms,per_slide_lat_min_ms,rdma_rcv_dev,rdma_rcv_sustained_bps,weka_read_sustained_bps,weka_read_max_bps,weka_ops_sustained,weka_ops_max,weka_reads_per_sec_sustained,ratio_rdma_rcv_over_weka_read,ratio_weka_ops_over_app_slides_per_sec,status
camelyon16,1,cold,2026-08-22-211444-weka-s2.0-properties-camelyon16-n1-cold,2026-08-22T21:14:51Z,2026-08-22T21:15:00Z,9.0,399,399,0,9.397,42.46,399,23.44576441102757,27.307000000000002,30.624,32.524,40.506,10.984,,,582198961.8344444,630482762.58,11631.290902466668,14156.828502,2416.998191804444,,273.93525441513583,OK
camelyon16,8,cold,2026-08-22-211542-weka-s2.0-properties-camelyon16-n8-cold,2026-08-22T21:15:48Z,2026-08-22T21:15:50Z,2.0,399,399,0,1.402,284.57,399,27.13455889724311,30.683,35.941,44.312999999999995,57.387,11.91,,,1097454029.88,1730536392.49,21447.698757,33832.956667,4276.3460395,,75.36879768422531,OK
camelyon16,64,cold,2026-08-22-211259-weka-s2.0-properties-camelyon16-n64-cold,2026-08-22T21:13:07Z,2026-08-22T21:13:08Z,1.0,399,399,0,0.689,579.0,399,90.99904761904762,93.811,150.458,174.90800000000002,181.66199999999998,29.843999999999998,,,0.0,0.0,1.9999784,1.9999784,0.0,,0.003454194127806563,OK
camelyon16,256,cold,2026-08-22-211353-weka-s2.0-properties-camelyon16-n256-cold,2026-08-22T21:14:00Z,2026-08-22T21:14:01Z,1.0,399,399,0,1.002,398.14,399,364.3075062656642,365.654,563.419,574.7919999999999,583.841,82.965,,,538276974.32,538276974.32,2803.7523809001004,2803.7523809001004,1843.837004,,7.042126842065858,OK
camelyon16,1,warm,2026-08-22-211326-weka-s2.0-properties-camelyon16-n1-warm,2026-08-22T21:13:31Z,2026-08-22T21:13:36Z,5.0,399,399,0,4.802,83.08,399,11.94747117794486,14.748000000000001,16.904,19.258999999999997,20.703,5.065,,,0.0,0.0,17549.855569577776,20156.179643,0.0,,211.24043776574118,OK
camelyon16,8,warm,2026-08-22-211420-weka-s2.0-properties-camelyon16-n8-warm,2026-08-22T21:14:25Z,2026-08-22T21:14:26Z,1.0,399,399,0,0.662,602.36,399,12.572671679197995,15.414000000000001,18.521,23.527,25.705,5.23,,,0.0,0.0,5613.928703,5613.928703,0.0,,9.319889605883525,OK
camelyon16,64,warm,2026-08-22-211519-weka-s2.0-properties-camelyon16-n64-warm,2026-08-22T21:15:24Z,2026-08-22T21:15:24Z,0.0,399,399,0,0.268,1488.8,399,24.86164411027569,25.965,40.698,46.157999999999994,46.341,7.85,,,0.0,0.0,1.9999792,1.9999792,0.0,,0.0013433498119290704,OK
camelyon16,256,warm,2026-08-22-211608-weka-s2.0-properties-camelyon16-n256-warm,2026-08-22T21:16:13Z,2026-08-22T21:16:14Z,1.0,399,399,0,0.596,669.23,399,93.84971428571428,95.792,144.798,155.296,159.607,10.893,,,0.0,0.0,1.3333193222444446,1.9999792,0.0,,0.0019923185186624098,OK
tcga-brca,1,cold,2026-08-22-211044-weka-s2.0-properties-tcga-brca-n1-cold,2026-08-22T21:10:52Z,2026-08-22T21:11:16Z,24.0,1133,1133,0,24.182,46.85,1133,21.25592586054722,20.049999999999997,37.657000000000004,40.155,56.683,7.444,,,497274006.0511382,691615377.47,13467.206674955283,17324.777753,1685.0021777354473,,287.4537177151608,OK
tcga-brca,8,cold,2026-08-22-211158-weka-s2.0-properties-tcga-brca-n8-cold,2026-08-22T21:12:06Z,2026-08-22T21:12:10Z,4.0,1133,1133,0,3.466,326.87,1133,24.080113857016766,22.165,41.641,47.467,64.404,7.83,,,2525302708.782,3895970631.18,67722.65051109334,94917.50116000001,8750.790731866668,,207.18527399606367,OK
tcga-brca,64,cold,2026-08-22-210218-weka-s2.0-properties-tcga-brca-n64-cold,2026-08-22T21:08:51Z,2026-08-22T21:08:53Z,2.0,1133,1133,0,1.321,857.51,1133,66.48894351279789,61.842,106.235,118.71900000000001,137.882,19.967,,,4371151205.9,4371151205.9,116254.77765910368,116254.77765910368,15479.184516000001,,135.57250371319714,OK
tcga-brca,256,cold,2026-08-22-210951-weka-s2.0-properties-tcga-brca-n256-cold,2026-08-22T21:09:58Z,2026-08-22T21:10:00Z,2.0,1133,1133,0,1.618,700.32,1133,269.068706972639,271.23,411.611,478.851,512.243,43.936,,,2359840152.056667,3909851198.3300004,53649.56553666667,90254.22812,8662.766711999999,,76.6072160393344,OK
tcga-brca,1,warm,2026-08-22-210911-weka-s2.0-properties-tcga-brca-n1-warm,2026-08-22T21:09:17Z,2026-08-22T21:09:34Z,17.0,1133,1133,0,16.533,68.53,1133,14.515677846425417,13.459999999999999,29.613,31.807000000000002,43.496,3.748,,,0.0,0.0,15637.182346428915,20268.524887,0.0,,228.1801013633287,OK
tcga-brca,8,warm,2026-08-22-211018-weka-s2.0-properties-tcga-brca-n8-warm,2026-08-22T21:10:24Z,2026-08-22T21:10:27Z,3.0,1133,1133,0,2.266,499.93,1133,15.664665489849957,14.391,30.708,33.942,47.215,3.852,,,0.0,0.0,87590.2432257,123086.4056,0.0,,175.2050151535215,OK
tcga-brca,64,warm,2026-08-22-211134-weka-s2.0-properties-tcga-brca-n64-warm,2026-08-22T21:11:40Z,2026-08-22T21:11:41Z,1.0,1133,1133,0,0.621,1824.68,1133,27.844545454545454,26.339000000000002,51.566,58.522999999999996,69.05,6.3020000000000005,,,0.0,0.0,1.9999784,1.9999784,0.0,,0.0010960707630927066,OK
tcga-brca,256,warm,2026-08-22-211228-weka-s2.0-properties-tcga-brca-n256-warm,2026-08-22T21:12:40Z,2026-08-22T21:12:41Z,1.0,1133,1133,0,0.975,1162.55,1133,116.03493115622241,121.68900000000001,187.191,223.193,268.718,8.522,,,0.0,0.0,27297.2585804005,27297.2585804005,0.0,,23.48050284323298,OK
