dataset,backend,n_processes,num_workers,batch_size,sorted_from_name,coldref_from_name,run_dir,run_start_utc,run_end_utc,window_s,tiles_steady,tiles_per_sec_steady,cache_hit_rate,errors,unique_slides_read,rdma_xmit_dev,rdma_xmit_sustained_bps,rdma_rcv_dev,rdma_rcv_sustained_bps,weka_read_sustained_bps,weka_ops_sustained,agg_cpu_busy_ex_dpdk_sustained_pct,agg_cpu_busy_ex_dpdk_p95_pct,agg_cpu_busy_ex_dpdk_max_pct,status
camelyon16,cucim,1,16,4,False,False,2026-08-17-083058-weka-s4.B-tilesread-camelyon16-cucim-N1-nw16-bs4,2026-08-17T08:31:03Z,2026-08-17T08:32:15Z,72.0,91396,1523.2666666666667,0.8704448873678737,0,399,,,,,1589508.4749999999,153.16643317546155,7.021732954545454,8.038295454545455,8.52909090909091,OK
camelyon16,cucim,4,16,4,False,False,2026-08-17-083513-weka-s4.B-tilesread-camelyon16-cucim-N4-nw16-bs4,2026-08-17T08:35:18Z,2026-08-17T08:36:32Z,74.0,340172,5669.533333333334,0.8733904929257341,0,399,,,,,2310733.230526316,484.1998203119403,26.089109589041097,28.17340909090909,28.482045454545457,OK
camelyon16,cucim,16,16,4,False,False,2026-08-17-082924-weka-s4.B-tilesread-camelyon16-cucim-N16-nw16-bs4,2026-08-17T08:29:28Z,2026-08-17T08:30:52Z,84.0,826048,13767.466666666667,0.8740307770612755,0,399,,,,,21073226.648421053,893.6128862846863,76.8141189674523,87.12579545454545,87.2528409090909,OK
camelyon16,cucim,16,16,4,False,True,2026-08-17-083951-weka-s4.B-tilesread-camelyon16-cucim-N16-nw16-bs4-coldref,2026-08-17T08:40:22Z,2026-08-17T08:41:46Z,84.0,784340,13072.333333333334,0.8740431606789361,0,399,,,,,1764962999.5611594,12897.230804336377,76.15426066217732,86.59386363636364,86.83397727272728,OK
camelyon16,cucim,64,16,4,False,False,2026-08-17-083221-weka-s4.B-tilesread-camelyon16-cucim-N64-nw16-bs4,2026-08-17T08:32:26Z,2026-08-17T08:35:06Z,160.0,1591660,26527.666666666668,0.8743387542768029,0,399,,,,,6256354.04972973,739.4906213083999,83.70034772727273,98.1196590909091,98.4228409090909,OK
camelyon16,cucim,64,16,4,False,True,2026-08-17-083639-weka-s4.B-tilesread-camelyon16-cucim-N64-nw16-bs4-coldref,2026-08-17T08:37:09Z,2026-08-17T08:39:45Z,156.0,1411204,23520.066666666666,0.8745929425900035,0,399,,,,,1189409324.882768,8338.609946668104,77.88431894447834,97.93818181818182,98.2365909090909,OK
camelyon16,openslide,1,,,False,False,2026-08-17-081655-weka-s4.B-tilesread-camelyon16-openslide-N1,2026-08-17T08:17:00Z,2026-08-17T08:18:11Z,71.0,15850,264.1666666666667,0.8707732069780592,0,297,,,,,2423979.882,3469.375403713442,1.3107260101010099,1.4903409090909092,1.7235227272727272,OK
camelyon16,openslide,4,,,False,False,2026-08-17-082048-weka-s4.B-tilesread-camelyon16-openslide-N4,2026-08-17T08:20:53Z,2026-08-17T08:22:04Z,71.0,64500,1075.0,0.8734419942473168,0,399,,,,,2133983.17,14177.296333428572,4.49362391033624,4.876931818181817,5.226477272727272,OK
camelyon16,openslide,16,,,False,False,2026-08-17-082210-weka-s4.B-tilesread-camelyon16-openslide-N16,2026-08-17T08:22:15Z,2026-08-17T08:23:28Z,73.0,257141,4285.683333333333,0.8744003314045825,0,399,,,,,781174.9633333334,55331.9130222,17.23083592777086,18.09931818181818,18.58113636363636,OK
camelyon16,openslide,64,,,False,False,2026-08-17-081519-weka-s4.B-tilesread-camelyon16-openslide-N64,2026-08-17T08:15:24Z,2026-08-17T08:16:49Z,85.0,714171,11902.85,0.875357872211524,0,399,,,,,3437232730.12,138316.15610412433,59.95713474025973,71.67681818181819,71.92761363636363,OK
