run_dir,mode,dataset,compat_mode,cufile_mode_requested,gds_engaged,n_buffer,num_threads,n_processes,tag,duration_s,app_tiles_per_sec,app_gbps,app_n_tiles,app_n_slides_read,app_wallclock_s,app_lat_p50_ms,app_lat_p95_ms,app_lat_p99_ms,weka_read_mean_MiBps,weka_read_max_MiBps,rdma_rcv_mean_MiBps,rdma_rcv_max_MiBps,ratio_rdma_over_app,cpu_non_dpdk_mean_pct,cpu_non_dpdk_p95_pct,cpu_non_dpdk_max_pct,gpu_mem_max_MiB,gpu_mem_mean_MiB,gpu_util_max_pct,gpu_util_mean_pct
2026-08-18-163733-weka-s4.C-faithful-brca-nb1-nt16-offgds,faithful,brca,off,off,none,1,16,1,,609.0,2021.9321681186645,0.40580987387008843,1228962,45,607.8156425709894,,,,386.78849662761843,408.07535008430483,0.0,0.0,0.0,0.8316418687695282,1.0992045454545454,12.173409090909091,437.0,108.54337152209493,4.0,0.752454991816694
2026-08-18-164758-weka-s4.C-faithful-brca-nb4-nt16-offgds,faithful,brca,off,off,none,4,16,1,,251.0,5403.471676489483,1.0844983793581453,1352932,50,250.3819916159846,,,,1034.104852294334,1088.5455480861663,0.0,0.0,0.0,1.2479100790513835,1.5494318181818185,11.992045454545455,441.0,108.94783464566929,10.0,2.2096456692913384
2026-08-18-165221-weka-s4.C-faithful-brca-nb16-nt16-offgds,faithful,brca,off,off,none,16,16,1,,89.0,15209.377327285987,3.052582867095607,1352932,50,88.95380598999327,,,,2906.5738356261254,3063.3976578140264,0.0,0.0,0.0,2.8555831668331666,3.241477272727273,12.369204545454545,459.0,110.99184782608695,27.0,6.103260869565218
2026-08-18-165402-weka-s4.C-faithful-brca-nb64-nt16-offgds,faithful,brca,off,off,none,64,16,1,,60.0,23051.681431002355,4.626564669927896,1352932,50,58.691250095987925,,,,4409.023833643895,4576.574466295242,0.0,0.0,0.0,3.7397820417287644,4.404659090909093,11.45897727272727,469.0,111.54435483870968,41.0,9.169354838709678
2026-08-18-165513-weka-s4.C-faithful-brca-nb256-nt16-offgds,faithful,brca,off,off,none,256,16,1,,50.0,27399.96448724192,5.499282472447403,1352932,50,49.37714428899926,,,,5128.084875617556,5317.156795597076,0.0,0.0,0.0,4.343544580419582,4.897954545454545,9.818636363636363,507.0,119.47169811320755,48.0,10.679245283018869
2026-08-18-165725-weka-s4.C-random-brca-nb1-nt16-offgds,random,brca,off,off,none,1,16,1,,74.0,1860.1854792992667,0.37334666643728004,111612,50,60.00046836299589,0.47320850717369467,0.7264651430887169,0.7784248676034623,349.706494887367,367.4963250350952,0.0,0.0,0.0,0.8258727272727276,1.3323863636363633,9.394204545454544,437.0,104.92434210526316,3.0,0.6973684210526315
2026-08-18-165850-weka-s4.C-random-brca-nb4-nt16-offgds,random,brca,off,off,none,4,16,1,,73.0,5284.457604677242,1.0606117790891412,317072,50,60.000859827006934,0.5307090032147244,0.7771440141368657,0.8565819967770953,1002.5207836765709,1048.1405258655548,0.0,0.0,0.0,1.5098418304668304,1.794772727272727,12.533750000000003,441.0,105.79333333333334,9.0,2.0166666666666666
2026-08-18-170015-weka-s4.C-random-brca-nb16-nt16-offgds,random,brca,off,off,none,16,16,1,,73.0,14082.314629491111,2.8263768753973837,844944,50,60.00036373498733,0.6565319781657308,0.7965679920744151,1.0620039759669455,2650.4138519947237,2814.6025003051755,0.0,0.0,0.0,2.880534398034399,3.1810227272727265,8.853522727272725,455.0,108.85333333333334,25.0,5.343333333333334
2026-08-18-170139-weka-s4.C-random-brca-nb64-nt16-offgds,random,brca,off,off,none,64,16,1,,72.0,23289.453312934187,4.674286437719144,1397376,50,60.00037790599163,1.0401865147287026,1.570325405918991,2.0225316230789696,4381.546149046719,4602.49915845871,0.0,0.0,0.0,4.245208845208844,4.733977272727274,12.599431818181815,469.0,112.2,41.0,9.1
2026-08-18-170303-weka-s4.C-random-brca-nb256-nt16-offgds,random,brca,off,off,none,256,16,1,,73.0,28017.216715461065,5.623167463659898,1681117,50,60.00299805199029,3.2633574883220717,5.811519600683822,6.6850228892872074,5349.915030663355,5480.421304197312,0.0,0.0,0.0,4.8775291769041775,5.4381818181818184,11.770113636363636,507.0,121.03333333333333,49.0,10.903333333333334
2026-08-18-170427-weka-s4.C-random-brca-nb1-nt16-ongds,random,brca,on,on,none,1,16,1,,73.0,1995.1869609881023,0.4004420038181561,119712,50,60.00039211398689,0.5302690260577947,0.8563449955545359,1.087930001667698,499.7129062189162,657.7903249454499,0.0,0.0,0.0,1.7346867321867323,2.190909090909092,7.977613636363636,439.0,105.33333333333333,4.0,0.7466666666666667
2026-08-18-170551-weka-s4.C-random-brca-nb4-nt16-ongds,random,brca,on,on,none,4,16,1,,78.0,5212.512735134459,1.0461721559924264,312752,50,60.00023710099049,0.540338980499655,0.9985750017222016,2.512390925548969,1398.3851680181897,1569.575536737442,0.0,0.0,0.0,3.0880042613636363,4.093181818181819,11.0975,439.0,105.62345679012346,11.0,1.9012345679012346
2026-08-18-170722-weka-s4.C-random-brca-nb16-nt16-ongds,random,brca,on,on,none,16,16,1,,89.0,12432.174830437665,2.495187217168161,745952,50,60.001730201998726,0.508208991959691,2.0988223113818085,4.20125174743589,2499.82487710983,3500.1825300312044,0.0,0.0,0.0,4.445617424242425,9.087045454545455,12.558295454545453,441.0,106.49450549450549,32.0,4.153846153846154
2026-08-18-170902-weka-s4.C-random-brca-nb64-nt16-ongds,random,brca,on,on,none,64,16,1,,101.0,25232.65260930032,5.064294309297011,1513962,50,60.00011268898379,1.0342090099584311,2.9496466944692563,4.773983288323505,2872.201364840054,5977.940588846207,0.0,0.0,0.0,5.375835561497326,14.002613636363634,16.568295454545453,451.0,109.25242718446601,60.0,7.084951456310679
2026-08-18-171054-weka-s4.C-random-brca-nb256-nt16-ongds,random,brca,on,on,none,256,16,1,,104.0,34659.20970051684,6.956242023732533,2079563,50,60.00030058299308,3.4627889981493354,6.200426720897666,6.88536360336002,3986.010756650838,7909.045281991959,0.0,0.0,0.0,6.413614718614718,19.40125,20.244886363636365,489.0,118.38915094339623,73.0,9.212264150943396
2026-08-18-171900-weka-s4.C-faithful-brca-nb1-nt16-ongds,faithful,brca,on,on,none,1,16,1,,204.0,6655.555113347652,1.3357960645168905,1352932,50,203.27861116899294,,,,1233.62813985706,1674.0914907455444,0.0,0.0,0.0,1.9385254854368938,2.248977272727272,11.753636363636362,439.0,108.15700483091787,15.0,2.751207729468599
2026-08-18-172236-weka-s4.C-faithful-brca-nb4-nt16-ongds,faithful,brca,on,on,none,4,16,1,,145.0,9410.359086885903,1.8886960471175862,1352932,50,143.7704966950114,,,,1754.7479319384656,2529.3900362968443,0.0,0.0,0.0,2.8112453300124547,3.497159090909091,12.360113636363637,439.0,107.50680272108843,24.0,3.828231292517007
2026-08-18-172513-weka-s4.C-faithful-brca-nb16-nt16-ongds,faithful,brca,on,on,none,16,16,1,,126.0,10858.350266287685,2.179313566762343,1352932,50,124.59830147499451,,,,2036.6225532463368,3031.763834943771,0.0,0.0,0.0,4.074546349319972,5.762954545454546,11.758636363636366,441.0,107.662109375,30.0,4.66015625
2026-08-18-172730-weka-s4.C-faithful-brca-nb64-nt16-ongds,faithful,brca,on,on,none,64,16,1,,116.0,11749.792541845763,2.358229534424658,1352932,50,115.14518194101402,,,,2217.9265677968356,3419.488705816269,0.0,0.0,0.0,5.029151579352849,7.9064772727272725,11.616931818181824,451.0,109.8970588235294,32.0,4.718487394957983
2026-08-18-172938-weka-s4.C-faithful-brca-nb256-nt16-ongds,faithful,brca,on,on,none,256,16,1,,98.0,13989.661956845697,2.8077801276709247,1352932,50,96.70941329200286,,,,2585.380421022815,4439.090609750748,0.0,0.0,0.0,8.413528466483015,13.391022727272725,14.77875,489.0,118.5775,44.0,5.8775
