run_dir,model,backend,dataset,n_gpus,duration_s,tiles_per_sec_aggregate_steady,n_slides_manifest,n_slides_extracted_total,total_tiles_steady_phase,cell_wallclock_s_trainer,embedding_dim,n_steady_steps_rank0,step_duration_ms_mean,step_duration_ms_p95,dataload_ms_mean,dataload_ms_p95,forward_ms_mean,forward_ms_p95,gpu_stall_pct_steady_csv,n_slides_per_slide_csv,per_slide_wallclock_mean_s,per_slide_wallclock_p95_s,per_slide_tps_mean,weka_read_mean_MiBps,weka_read_max_MiBps,rdma_rcv_mean_MiBps,rdma_rcv_max_MiBps,ratio_rdma_over_weka_read,cpu_non_dpdk_mean_pct,cpu_non_dpdk_p95_pct,n_active_gpus,gpu_util_mean_pct,gpu_util_min_mean_pct,gpu_util_max_max_pct,gpu_mem_max_mib
2026-08-18-210721-weka-s6.A-extract-virchow2-kvikio-brca50-N1,virchow2,kvikio,brca50,1,1893.0,271.54401958754653,50,50,510846.0,1881.2640424780257,1280,2019,912.1476270430908,937.064,1.738978702327889,1.781,910.3492005943527,935.237,0.19064662898539053,50,37.50008,83.866,273.71799999999996,52.24635901180619,73.51874094963074,0.0,0.0,0.0,1.6120957329365464,1.8575000000000004,1,98.33051742344244,98.33051742344244,100.0,11229.0
2026-08-18-213921-weka-s6.A-extract-virchow2-kvikio-brca50-N2,virchow2,kvikio,brca50,2,1033.0,498.34225480170346,50,50,508286.0,1019.9536465200072,1280,949,918.1418029504732,936.847,1.7347070600632177,1.77,916.3514478398315,935.032,0.18893672573111223,50,38.17583999999999,86.879,268.392,96.34926466836534,135.13133769035338,0.0,0.0,0.0,2.848781291172597,3.047954545454546,2,97.2292471042471,97.06370656370656,100.0,11376.0
2026-08-18-215655-weka-s6.A-extract-virchow2-kvikio-brca50-N4,virchow2,kvikio,brca50,4,535.0,970.695502780786,50,50,503166.0,518.3561668500188,1280,544,904.4862481617654,933.559,1.738740808823526,1.785,902.6859595588234,931.747,0.19223518459868943,50,37.41436,82.854,274.42599999999993,189.37722473357363,276.50788578987124,0.0,0.0,0.0,5.339848626187251,5.438068181818182,4,95.60167910447761,95.34701492537313,100.0,12149.0
2026-08-18-220605-weka-s6.A-extract-virchow2-cucim-brca50-N4,virchow2,cucim_batched_cpu,brca50,4,602.0,859.1099967190268,50,50,503166.0,585.6828600779991,1280,544,916.963308823529,938.623,1.6719742647058835,1.703,910.845669117648,932.404,0.18233818612121322,50,42.16292000000001,92.937,242.558,67.69497841173691,416.7295178699493,0.0,0.0,0.0,7.33258593396653,8.055681818181817,4,87.83071192052981,86.40728476821192,100.0,11957.0
2026-08-18-221623-weka-s6.A-extract-gigapath-kvikio-brca50-N1,gigapath,kvikio,brca50,1,2271.0,226.8062218174951,50,50,510846.0,2252.345618680003,1536,2019,1094.6580004952973,1123.976,1.735745913818737,1.774,1092.8625017335312,1122.125,0.1585651329486797,50,44.9077,100.375,228.77999999999997,43.750789440215286,62.780277786254885,0.0,0.0,0.0,1.6033564472263362,1.8445454545454545,1,98.16153169014085,98.16153169014085,100.0,13077.0
2026-08-18-225445-weka-s6.A-extract-gigapath-kvikio-brca50-N2,gigapath,kvikio,brca50,2,1248.0,414.735515635175,50,50,508286.0,1225.566610135982,1536,949,1099.7443772391994,1122.345,1.745976817702842,1.789,1097.9216427818742,1120.527,0.15876205906011992,50,45.7628,104.04,223.912,79.96628462115969,110.00255542755127,0.0,0.0,0.0,2.8428248052987866,3.029772727272728,2,97.16253002401922,97.0968775020016,100.0,13646.0
2026-08-18-231554-weka-s6.A-extract-gigapath-kvikio-brca50-N4,gigapath,kvikio,brca50,4,654.0,799.6550426327899,50,50,503166.0,629.2288213970023,1536,544,1090.0939044117647,1118.245,1.7442867647058833,1.788,1088.2792040441184,1116.386,0.16001252347586803,50,45.11713999999999,100.0,227.26399999999998,156.00455333065656,205.21225626945494,0.0,0.0,0.0,5.427993001662975,5.4694318181818184,4,95.02972560975611,94.66463414634147,100.0,14519.0
2026-08-18-232705-weka-s6.A-extract-gigapath-cucim-brca50-N4,gigapath,cucim_batched_cpu,brca50,4,714.0,729.0670000105437,50,50,503166.0,690.1505622840195,1536,544,1098.6762775735288,1126.908,1.6719007352941144,1.703,1092.5623988970592,1120.749,0.15217409981642438,50,49.614259999999994,109.524,206.5,57.592743010876035,345.8515235614776,0.0,0.0,0.0,7.057047361729177,7.914431818181816,4,88.93435754189943,88.15642458100558,100.0,14909.0
2026-08-18-233914-weka-s6.A-extract-uni2-h-kvikio-brca50-N1,uni2-h,kvikio,brca50,1,1862.0,276.2909306090137,50,50,510846.0,1848.9423408650036,1536,2019,895.8196646854899,928.51,1.7348226844972734,1.776,894.0287741456166,926.712,0.1936575800785031,50,36.84134,82.785,278.172,53.29250324673567,81.64733657836913,0.0,0.0,0.0,1.6109662139094827,1.845227272727273,1,97.89216738197425,97.89216738197425,100.0,12451.0
2026-08-19-001045-weka-s6.A-extract-uni2-h-kvikio-brca50-N2,uni2-h,kvikio,brca50,2,1017.0,507.4158813793245,50,50,508286.0,1001.7148036799917,1536,949,895.3739420442566,928.32,1.7339631190727092,1.769,893.5847049525837,926.506,0.19365798329062847,50,37.36583999999999,84.6,274.914,98.24192674211014,145.69556370735168,0.0,0.0,0.0,2.8314725889909873,3.03784090909091,2,97.17468105986262,97.10304219823357,100.0,12946.0
2026-08-19-002802-weka-s6.A-extract-uni2-h-kvikio-brca50-N4,uni2-h,kvikio,brca50,4,540.0,963.9180814285023,50,50,503166.0,522.0007899990014,1536,544,892.5438088235295,926.488,1.7504338235294092,1.792,890.7121966911761,924.662,0.1961174125264138,50,37.13388,82.024,277.11599999999993,187.80929326797624,267.0438198852539,0.0,0.0,0.0,5.396786254411015,5.53068181818182,4,95.25553505535055,95.10147601476015,100.0,13911.0
