run_dir,tier,corpus,n_processes,pattern,duration_s,files_per_sec_steady_aggregate,MiBps_steady_aggregate,n_files_loaded_steady,errors,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,weka_read_mean_MiBps,weka_read_max_MiBps,weka_ops_per_sec_mean,weka_ops_per_sec_max,rdma_rcv_mean_MiBps,rdma_rcv_max_MiBps,ratio_rdma_over_weka_read,cpu_non_dpdk_mean_pct,cpu_non_dpdk_p95_pct,p99_feed_interval_ms,feed_reference_ms,feed_reference_source,feed_verdict
2026-08-21-221608-weka-s6.B.2-stress-syn-N10000-sz50MB-fp32-n16-random,6.B.2,syn-N10000-sz50MB-fp32,16,random,904.0,297.6483333333333,14882.919949685733,178589,0,53.75355934619704,53.74857102287933,56.639487971551716,58.21717600338161,87.52700698096305,2212.679003254138,6905.708043422699,1564.9213492867552,8554.834235999999,0.0,0.0,0.0,18.938828352586643,20.952613636363637,3.6385735002113506,9.703471667154998,b3-step@nw16-min-across-models,PASS
2026-08-21-223142-weka-s6.B.2-stress-syn-N10000-sz50MB-fp32-n16-batched-shuffled,6.B.2,syn-N10000-sz50MB-fp32,16,batched-shuffled,904.0,298.51,14926.004739980697,179106,0,53.595429943356585,53.63569897599518,56.378700013738126,57.866258022841066,71.69808202888817,0.0,0.0,894.6751169385317,982.9870011,0.0,0.0,,18.473894776494213,19.175,3.6166411264275666,9.703471667154998,b3-step@nw16-min-across-models,PASS
2026-08-21-224716-weka-s6.B.2-stress-syn-N10000-sz50MB-fp32-n16-sequential,6.B.2,syn-N10000-sz50MB-fp32,16,sequential,903.0,299.75666666666666,14988.34018125852,179854,0,53.342625955781294,53.37952298577875,56.24311702558771,57.76324501493946,71.98778697056696,0.0,0.0,702.3043213233126,974.987226,0.0,0.0,,18.45419889502762,19.100909090909088,3.610202813433716,9.703471667154998,b3-step@nw16-min-across-models,PASS
2026-08-21-230249-weka-s6.B.2-stress-syn-N10000-sz50MB-fp32-n64-random,6.B.2,syn-N10000-sz50MB-fp32,64,random,904.0,238.43,11921.903152837753,143058,0,268.4667613468836,253.0149359954521,336.0853390186094,349.7065920382738,481.9293489563279,0.0,0.0,693.1747868091949,941.9876644999999,0.0,0.0,,73.69168497892841,74.92738636363636,5.464165500598028,9.889860167998114,b3-step@nw32-min-across-models,PASS
2026-08-21-231823-weka-s6.B.2-stress-syn-N10000-sz50MB-fp32-n64-batched-shuffled,6.B.2,syn-N10000-sz50MB-fp32,64,batched-shuffled,904.0,204.005,10200.594944825172,122403,0,313.8536962245413,312.6793809933588,346.21064201928675,356.68546601664275,523.4540730016306,0.0,0.0,616.801838736107,891.987868,0.0,0.0,,73.06388508428658,73.91988636363637,5.573210406510043,9.889860167998114,b3-step@nw32-min-across-models,PASS
2026-08-21-233357-weka-s6.B.2-stress-syn-N10000-sz50MB-fp32-n64-sequential,6.B.2,syn-N10000-sz50MB-fp32,64,sequential,904.0,203.965,10198.59487719059,122379,0,314.0718213605678,312.93341499986127,346.46171098574996,356.80375597439706,553.1396750011481,0.0,0.0,368.8946457305885,537.9862985,0.0,0.0,,73.1513557257659,73.95227272727273,5.575058687099954,9.889860167998114,b3-step@nw32-min-across-models,PASS
2026-08-21-234930-weka-s6.B.2-stress-syn-N10000-sz50MB-fp32-n256-random,6.B.2,syn-N10000-sz50MB-fp32,256,random,925.0,193.43333333333334,9671.993736235301,116060,0,1330.8246643822974,1086.7545959772542,2919.0420230152085,3580.1248010247946,5061.564858944621,0.0,0.0,656.8295756821417,1014.9853478,0.0,0.0,,98.54161081081044,100.0,13.984862504003104,9.889860167998114,b3-step@nw32-min-across-models,STALLED
2026-08-22-000528-weka-s6.B.2-stress-syn-N10000-sz50MB-fp32-n256-batched-shuffled,6.B.2,syn-N10000-sz50MB-fp32,256,batched-shuffled,917.0,193.46166666666667,9673.410450809797,116077,0,1321.27765792868,1113.7887830263935,2825.0814659986645,3413.4348329971544,4860.271679004654,0.0,0.0,669.3516917667627,954.9634685000001,0.0,0.0,,98.92263606622394,100.0,13.333729816395135,9.889860167998114,b3-step@nw32-min-across-models,STALLED
2026-08-22-002113-weka-s6.B.2-stress-syn-N10000-sz50MB-fp32-n256-sequential,6.B.2,syn-N10000-sz50MB-fp32,256,sequential,921.0,192.51166666666666,9625.908844488462,115507,0,1332.8286753374234,1294.9536250089295,2632.7909529791214,3181.0746830306016,4221.109858015552,0.0,0.0,186.48109871635418,890.9891898999999,0.0,0.0,,98.69156475175235,100.0,12.426072980588287,9.889860167998114,b3-step@nw32-min-across-models,STALLED
2026-08-22-003704-weka-s6.B.2-stress-syn-N10000-sz50MB-fp16-n16-random,6.B.2,syn-N10000-sz50MB-fp16,16,random,903.0,294.565,14728.316577820779,176739,0,54.28604394741592,54.16105396579951,57.011608965694904,59.280238987412304,88.0153079633601,2670.6948117071497,8902.784666900636,1649.919439417225,11092.285184999999,0.0,0.0,0.0,18.980258663987946,21.02988636363636,3.705014936713269,9.703471667154998,b3-step@nw16-min-across-models,PASS
2026-08-22-005237-weka-s6.B.2-stress-syn-N10000-sz50MB-fp16-n16-batched-shuffled,6.B.2,syn-N10000-sz50MB-fp16,16,batched-shuffled,904.0,297.345,14867.317206158637,178407,0,53.78564151470793,53.745070996228606,56.237804994452745,57.6503140036948,66.04152999352664,0.0,0.0,891.2187188305311,980.987212,0.0,0.0,,18.424958186840797,18.989204545454545,3.603144625230925,9.703471667154998,b3-step@nw16-min-across-models,PASS
2026-08-22-010810-weka-s6.B.2-stress-syn-N10000-sz50MB-fp16-n16-sequential,6.B.2,syn-N10000-sz50MB-fp16,16,sequential,903.0,298.46,14923.067458171845,179076,0,53.60213731702323,53.57528600143269,56.209856003988534,57.6845079776831,66.5122659993358,0.0,0.0,738.4045279457226,945.9772343,0.0,0.0,,18.46016637368155,18.972954545454545,3.6052817486051936,9.703471667154998,b3-step@nw16-min-across-models,PASS
2026-08-22-012343-weka-s6.B.2-stress-syn-N10000-sz50MB-fp16-n64-random,6.B.2,syn-N10000-sz50MB-fp16,64,random,904.0,228.19166666666666,11409.63490939935,136915,0,280.7276470829389,293.3833859860897,338.9789909706451,350.5074910353869,546.3889130041935,0.0,0.0,673.2894176366921,897.9882481,0.0,0.0,,73.22870095825816,74.6959090909091,5.476679547427921,9.889860167998114,b3-step@nw32-min-across-models,PASS
2026-08-22-013917-weka-s6.B.2-stress-syn-N10000-sz50MB-fp16-n64-batched-shuffled,6.B.2,syn-N10000-sz50MB-fp16,64,batched-shuffled,904.0,204.34333333333333,10217.212852512996,122606,0,313.2567784684767,311.94437196245417,345.59193800669163,356.16909398231655,551.0749259847216,0.0,0.0,619.3098189346865,913.9881421,0.0,0.0,,73.13778955298845,73.94659090909092,5.565142093473696,9.889860167998114,b3-step@nw32-min-across-models,PASS
2026-08-22-015450-weka-s6.B.2-stress-syn-N10000-sz50MB-fp16-n64-sequential,6.B.2,syn-N10000-sz50MB-fp16,64,sequential,904.0,204.13166666666666,10206.62947133859,122479,0,313.5584232136743,312.3067580163479,345.309707976412,355.02654896117747,530.1103859674186,0.0,0.0,375.7419498709767,575.9934532999999,0.0,0.0,,73.05369882600841,73.90352272727273,5.547289827518398,9.889860167998114,b3-step@nw32-min-across-models,PASS
2026-08-22-021051-weka-s6.B.2-stress-syn-N10000-sz50MB-fp16-n256-random,6.B.2,syn-N10000-sz50MB-fp16,256,random,918.0,188.75833333333333,9437.959329978625,113255,0,1346.2062684135724,1107.544649974443,2962.382095050998,3660.086651041638,5010.065085021779,0.0,0.0,668.0478998811942,926.9859311,0.0,0.0,,98.93904238463054,100.0,14.297213480631399,9.889860167998114,b3-step@nw32-min-across-models,STALLED
2026-08-22-022638-weka-s6.B.2-stress-syn-N10000-sz50MB-fp16-n256-batched-shuffled,6.B.2,syn-N10000-sz50MB-fp16,256,batched-shuffled,916.0,188.505,9425.292606053352,113103,0,1348.0195979816103,1153.219074010849,2860.22634699475,3431.377952976618,4591.057612968143,0.0,0.0,654.093879931641,876.9884315,0.0,0.0,,98.913002627144,100.0,13.403820128814914,9.889860167998114,b3-step@nw32-min-across-models,STALLED
2026-08-22-024254-weka-s6.B.2-stress-syn-N10000-sz50MB-fp16-n256-sequential,6.B.2,syn-N10000-sz50MB-fp16,256,sequential,921.0,190.08,9504.042962036132,114048,0,1333.9604976997382,1183.3867289824411,2809.359908977058,3230.4679559892975,4407.686907041352,0.0,0.0,225.58397329397786,854.9747795000001,0.0,0.0,,98.77758279044501,100.0,12.619015453083193,9.889860167998114,b3-step@nw32-min-across-models,STALLED
2026-08-22-025845-weka-s6.B.2-stress-syn-N66000-sz50MB-fp32-n64-random,6.B.2,syn-N66000-sz50MB-fp32,64,random,912.0,128.15333333333334,6407.883356596629,76892,0,505.0819727198822,402.5494719389826,933.8534410344437,1028.1129610957578,2363.1857429863885,4977.792970910639,9462.65650970459,6183.189148300445,11816.89068,0.0,0.0,0.0,74.81637671406804,76.70727272727275,16.064265017121215,9.889860167998114,b3-step@nw32-min-across-models,STALLED
2026-08-22-031427-weka-s6.B.2-stress-syn-N66000-sz50MB-fp32-n128-random,6.B.2,syn-N66000-sz50MB-fp32,128,random,936.0,117.11666666666666,5856.031361754735,70270,0,1088.3409559938239,806.0338109498844,2504.3972571147606,3583.039541961625,7431.2198150437325,4487.775412065601,7140.7858515357975,5650.085467259358,8888.909934,0.0,0.0,0.0,96.56192059483737,99.98863636363636,27.992496421575197,9.889860167998114,b3-step@nw32-min-across-models,STALLED
2026-08-22-033047-weka-s6.B.2-stress-syn-N66000-sz50MB-fp32-n256-random,6.B.2,syn-N66000-sz50MB-fp32,256,random,1049.0,115.98833333333333,5799.61278722922,69593,0,2160.1459462350417,1211.13361697644,6946.429917938076,10967.584575992078,22177.513670059852,3981.251822124825,7260.22726231575,5056.331832386745,8959.458837,0.0,0.0,0.0,94.34323816484347,100.0,42.84212724996905,9.889860167998114,b3-step@nw32-min-across-models,STALLED
2026-08-22-034914-weka-s6.B.2-stress-syn-N100000-sz5MB-fp32-n64-random,6.B.2,syn-N100000-sz5MB-fp32,64,random,914.0,8277.578333333333,41373.090203181906,4966547,0,7.6663857961747,7.009265944361687,10.936475009657443,11.74061605706811,34.247924108058214,4759.224032191395,8273.288934850692,26438.175761156235,34700.582711999996,0.0,0.0,0.0,72.52413946845506,75.30000000000001,0.1834471258916892,9.889860167998114,b3-step@nw32-min-across-models,PASS
2026-08-22-040522-weka-s6.B.2-stress-syn-N50000-sz10MB-fp32-n64-random,6.B.2,syn-N50000-sz10MB-fp32,64,random,910.0,3779.995,37796.65153100491,2267997,0,16.854447336044345,15.390710905194283,25.82344599068165,46.51499702595174,64.78238105773926,4020.4868864207992,7617.312992486954,12150.594677086941,15998.764825999999,0.0,0.0,0.0,73.25774985031428,76.1621590909091,0.726796828530496,9.889860167998114,b3-step@nw32-min-across-models,PASS
2026-08-22-042100-weka-s6.B.2-stress-syn-N2500-sz200MB-fp32-n64-random,6.B.2,syn-N2500-sz200MB-fp32,64,random,904.0,61.17,12234.013825693131,36702,0,1050.366029690591,999.4259809609503,1332.1925610071048,1446.9328080303967,2114.360069972463,2161.1579706597126,6298.391510801315,1700.0356047683683,6981.925879,0.0,0.0,0.0,73.92640527794495,75.62386363636365,22.60832512547495,9.889860167998114,b3-step@nw32-min-across-models,STALLED
